GEOID,NAME,B17001_001,B17001_002,B20004_001,B20004_002,B20004_003,B20004_004,B20004_005,B20004_006,B25014_001,B25014_002,B25014_003,B25014_004,B25014_005,B25014_006,B25014_007,B25014_008,B25014_009,B25014_010,B25014_011,B25014_012,B25014_013,B25064_001,B25071_001
00912,ZCTA5 00912,5432,2279,18381,15586,16359,14292,23451,45714,2578,1438,1099,302,9,22,6,1140,715,393,11,21,0,537,30.9
00913,ZCTA5 00913,7869,6391,16074,9250,9932,18478,49500,NA,3310,496,448,43,5,0,0,2814,1572,1170,66,6,0,214,35.2
00915,ZCTA5 00915,24856,15168,14637,11543,14319,16486,18280,33264,10615,4555,3185,1211,134,25,0,6060,3581,2209,201,50,19,408,36.7
00917,ZCTA5 00917,17995,8950,17005,8794,14253,17303,21214,32089,8326,3904,3001,851,41,11,0,4422,2635,1574,138,75,0,459,36
00918,ZCTA5 00918,15759,6192,32043,10349,15440,19032,35142,47831,8055,3901,3113,763,0,20,5,4154,2745,1258,111,40,0,332,27.8
00920,ZCTA5 00920,16207,5205,18443,13284,14672,18070,25156,27420,6821,3928,2993,883,31,6,15,2893,1628,1211,37,17,0,665,36.8
00921,ZCTA5 00921,31339,14238,18933,11250,15598,18673,24152,30551,13545,6419,4863,1489,50,17,0,7126,4571,2483,50,22,0,537,34.1
00923,ZCTA5 00923,23485,12760,16437,8095,13325,18338,26356,35781,10039,4316,2905,1339,42,30,0,5723,3488,2049,97,49,40,371,43
00924,ZCTA5 00924,47678,23511,20405,9653,14417,16534,27160,35579,19230,10456,7661,2547,132,81,35,8774,5107,3515,112,0,40,392,35.5
00925,ZCTA5 00925,6081,3919,13438,7443,9479,16944,11825,38811,3189,755,570,163,22,0,0,2434,1220,1071,40,94,9,444,41.5
00926,ZCTA5 00926,92795,25359,27202,11099,15827,20139,31260,54967,36114,25871,18600,6839,288,126,18,10243,5796,4231,153,18,45,582,30.3
00927,ZCTA5 00927,13588,3389,31944,NA,16159,21652,30563,44815,5963,3047,2304,732,0,6,5,2916,2022,872,13,9,0,528,23.6
00934,ZCTA5 00934,109,0,NA,NA,NA,NA,NA,NA,29,0,0,0,0,0,0,29,0,29,0,0,0,NA,NA
00936,ZCTA5 00936,0,0,14957,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
00949,ZCTA5 00949,72647,24451,21736,15648,16758,19724,26428,37702,25628,19425,12894,6013,441,38,39,6203,3456,2453,189,105,0,599,29.9
00950,ZCTA5 00950,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
00951,ZCTA5 00951,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
00952,ZCTA5 00952,7598,4128,15645,8234,15029,15600,19917,39896,2796,1740,1156,546,38,0,0,1056,649,305,94,8,0,518,34.4
00953,ZCTA5 00953,70992,20895,22380,9544,17149,20112,28867,37899,21729,18015,10702,6804,422,77,10,3714,1676,1958,16,46,18,664,37
